Unit of measure,na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Rank
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2009,,139,7
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2010,,158.2,3
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2011,,167.8,3
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2012,,173.1,3
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2013,,174.6,3
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2014,,167.4,3
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2015,,166.3,4
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2016,,164.8,4
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2017,,159.8,4
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2018,,150.1,4
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2019,,146.1,5
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2020,,151.9,5
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2021,,155.9,4
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2022,,145.7,5
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SE,Sweden,2023,,133.9,6
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,LV,Latvia,2024,,54.4,24
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,1995,,55.1,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,1996,,54.5,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,1997,,57.5,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,1998,,59.6,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,1999,,61.2,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2000,,59.3,17
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2001,,60,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2002,,62.1,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2003,,63.9,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2004,,64.7,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2005,,65.4,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2006,,66.8,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2007,,70.1,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2008,,73.5,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2009,,72.4,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2010,,70.1,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2011,,69.2,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2012,,67.2,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2013,,66.7,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2014,,67.4,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2015,,67.2,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2016,,68.1,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2017,,69.7,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2018,,71.7,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2019,,72.9,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2020,,73,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2021,,74.4,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2022,,75,16
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SI,Slovenia,2023,,79.1,15
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,RO,Romania,2024,,46.8,26
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,1995,,19.4,21
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,1996,,20.5,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,1997,,22.5,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,1998,,22.7,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,1999,,20.8,23
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2000,,22.5,23
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2001,,23,23
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2002,,24.5,23
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2003,,27.3,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2004,,30.3,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2005,,32.9,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2006,,36.3,22
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2007,,42.3,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2008,,48.1,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2009,,48.8,19
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2010,,50.4,19
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2011,,51.3,19
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2012,,52.5,19
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2013,,52.5,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2014,,52.7,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2015,,53.4,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2016,,52.8,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2017,,52.8,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2018,,54.2,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2019,,54.8,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2020,,56.7,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2021,,56.5,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2022,,56,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,SK,Slovakia,2023,,59.5,20
"Percentage of EU27 (from 2020) total per capita (based on million euro, EU27 from 2020), current prices",B1GQ,Gross domestic product at market prices,BG,Bulgaria,2024,,40.6,27
